method,variable,normalized_exponent
MI-DL,h,1.0
MI-DL,delta_T,0.34129384305304467
MI-DL,lambda,-4.089539205834791e-17
MI-DL,g,0.3333333333333335
MI-DL,alpha,0.34129384305304467
MI-DL,nu,-0.34519257785796753
MI-DL,kappa,-0.32147408880869915
SI-DL,h,1.0
SI-DL,delta_T,0.34518044322927716
SI-DL,lambda,-0.0
SI-DL,g,0.3333333333333333
SI-DL,alpha,0.34518044322927716
SI-DL,nu,-0.3785460240634265
SI-DL,kappa,-0.2881206426032401
Known Ra,h,1.0
Known Ra,delta_T,0.3333333333333333
Known Ra,lambda,0.0
Known Ra,g,0.3333333333333333
Known Ra,alpha,0.3333333333333333
Known Ra,nu,-0.3333333333333333
Known Ra,kappa,-0.3333333333333333
