seed,mi_raw_pi,epsilon_lb_raw_pi_normalized,formula
11,2.8699443654744634,0.0007598297947468368,h^1.0000 * delta_T^0.3413 * g^0.3333 * alpha^0.3413 * nu^-0.3452 * kappa^-0.3215
7,2.8681063225649917,0.0007626281345975326,h^1.0000 * delta_T^0.3411 * g^0.3333 * alpha^0.3411 * nu^-0.3442 * kappa^-0.3225
251,2.867960238490336,0.000762850982801219,h^1.0000 * delta_T^0.3414 * g^0.3333 * alpha^0.3414 * nu^-0.3432 * kappa^-0.3235
307,2.867457048151981,0.0007636190877276691,h^1.0000 * delta_T^0.3401 * g^0.3333 * alpha^0.3401 * nu^-0.3456 * kappa^-0.3211
137,2.867321393208634,0.0007638262932430191,h^1.0000 * delta_T^0.3408 * g^0.3333 * alpha^0.3408 * nu^-0.3443 * kappa^-0.3223
13,2.8672213383938088,0.0007639791575339756,h^1.0000 * delta_T^0.3426 * g^0.3333 * alpha^0.3426 * nu^-0.3435 * kappa^-0.3232
23,2.8668814005538703,0.0007644987449905393,h^1.0000 * delta_T^0.3421 * g^0.3333 * alpha^0.3421 * nu^-0.3444 * kappa^-0.3222
17,2.866236046930979,0.0007654861261330127,h^1.0000 * delta_T^0.3400 * g^0.3333 * alpha^0.3400 * nu^-0.3454 * kappa^-0.3213
31,2.8658698614856517,0.0007660469512299128,h^1.0000 * delta_T^0.3422 * g^0.3333 * alpha^0.3422 * nu^-0.3364 * kappa^-0.3303
42,2.8656221766742522,0.0007664265216252498,h^1.0000 * delta_T^0.3388 * g^0.3333 * alpha^0.3388 * nu^-0.3540 * kappa^-0.3127
89,2.8653814609972503,0.0007667955922172491,h^1.0000 * delta_T^0.3424 * g^0.3333 * alpha^0.3424 * nu^-0.3363 * kappa^-0.3304
5,2.865359448757194,0.0007668293507376447,h^1.0000 * delta_T^0.3421 * g^0.3333 * alpha^0.3421 * nu^-0.3400 * kappa^-0.3267
173,2.865172229795734,0.0007671165344898575,h^1.0000 * delta_T^0.3395 * g^0.3333 * alpha^0.3395 * nu^-0.3459 * kappa^-0.3208
73,2.8649210920445967,0.0007675019351130646,h^1.0000 * delta_T^0.3393 * g^0.3333 * alpha^0.3393 * nu^-0.3467 * kappa^-0.3200
0,2.8643370911858703,0.0007683989024191297,h^1.0000 * delta_T^0.3380 * g^0.3333 * alpha^0.3380 * nu^-0.3503 * kappa^-0.3164
2,2.863933806328804,0.0007690189197121661,h^1.0000 * delta_T^0.3406 * g^0.3333 * alpha^0.3406 * nu^-0.2960 * kappa^-0.3706
101,2.863830620442651,0.0007691776398866823,h^1.0000 * delta_T^0.3405 * g^0.3333 * alpha^0.3405 * nu^-0.3413 * kappa^-0.3254
57,2.8635158962025873,0.0007696619499911963,h^1.0000 * delta_T^0.3422 * g^0.3333 * alpha^0.3422 * nu^-0.3088 * kappa^-0.3578
1,2.8632407951275507,0.0007700855361692381,h^1.0000 * delta_T^0.3438 * g^0.3333 * alpha^0.3438 * nu^-0.3025 * kappa^-0.3642
202,2.8631756991590933,0.0007701858016235173,h^1.0000 * delta_T^0.3435 * g^0.3333 * alpha^0.3435 * nu^-0.3060 * kappa^-0.3607
37,2.8619685430238926,0.0007720475171318505,h^1.0000 * delta_T^0.3407 * g^0.3333 * alpha^0.3407 * nu^-0.3348 * kappa^-0.3319
3,2.8618969946523665,0.0007721580025218948,h^1.0000 * delta_T^0.3398 * g^0.3333 * alpha^0.3398 * nu^-0.3010 * kappa^-0.3657
19,2.861784347836423,0.0007723319844004425,h^1.0000 * delta_T^0.3405 * g^0.3333 * alpha^0.3405 * nu^-0.3252 * kappa^-0.3414
4,2.860300620940608,0.0007746272477355933,h^1.0000 * delta_T^0.3411 * g^0.3333 * alpha^0.3411 * nu^-0.3152 * kappa^-0.3515
