seed,S_cov,sidl_error,formula
11,0.9844085329998034,0.015591467000196646,h^1.0000 * delta_T^0.3452 * g^0.3333 * alpha^0.3452 * nu^-0.3785 * kappa^-0.2881
1,0.9844008803504625,0.01559911964953753,h^1.0000 * delta_T^0.3446 * g^0.3333 * alpha^0.3446 * nu^-0.3776 * kappa^-0.2890
3,0.9842200414670345,0.015779958532965543,h^1.0000 * delta_T^0.3392 * g^0.3333 * alpha^0.3392 * nu^-0.3809 * kappa^-0.2858
202,0.9841774167050891,0.01582258329491093,h^1.0000 * delta_T^0.3429 * g^0.3333 * alpha^0.3429 * nu^-0.3745 * kappa^-0.2921
7,0.9841319816016693,0.01586801839833074,h^1.0000 * delta_T^0.3412 * g^0.3333 * alpha^0.3412 * nu^-0.3759 * kappa^-0.2908
2,0.9837968529891848,0.016203147010815155,h^1.0000 * delta_T^0.3307 * g^0.3333 * alpha^0.3307 * nu^-0.3866 * kappa^-0.2801
5,0.9836935770968326,0.016306422903167417,h^1.0000 * delta_T^0.3310 * g^0.3333 * alpha^0.3310 * nu^-0.3916 * kappa^-0.2750
0,0.9836775024666574,0.016322497533342584,h^1.0000 * delta_T^0.3291 * g^0.3333 * alpha^0.3291 * nu^-0.3872 * kappa^-0.2795
42,0.9835397544166989,0.01646024558330106,h^1.0000 * delta_T^0.3339 * g^0.3333 * alpha^0.3339 * nu^-0.3774 * kappa^-0.2893
23,0.9834838831944728,0.016516116805527226,h^1.0000 * delta_T^0.3318 * g^0.3333 * alpha^0.3318 * nu^-0.3796 * kappa^-0.2871
17,0.9834101759562279,0.016589824043772072,h^1.0000 * delta_T^0.3376 * g^0.3333 * alpha^0.3376 * nu^-0.3903 * kappa^-0.2763
101,0.9832609356681653,0.016739064331834697,h^1.0000 * delta_T^0.3277 * g^0.3333 * alpha^0.3277 * nu^-0.3830 * kappa^-0.2837
4,0.9828592462355087,0.017140753764491312,h^1.0000 * delta_T^0.3178 * g^0.3333 * alpha^0.3178 * nu^-0.3979 * kappa^-0.2688
