method,pi_group,variable,normalized_exponent
MI-DL,pi1,u,0.998709130751796
MI-DL,pi1,rho,0.9987091307517968
MI-DL,pi1,D,1.0
MI-DL,pi1,k_s,-0.0012908692482013
MI-DL,pi1,mu,-0.9987091307517968
MI-DL,pi2,u,0.2505653025948897
MI-DL,pi2,rho,0.2505653025948898
MI-DL,pi2,D,-0.7494346974051095
MI-DL,pi2,k_s,1.0
MI-DL,pi2,mu,-0.2505653025948898
SI-DL,pi1,u,1.0
SI-DL,pi1,rho,1.0
SI-DL,pi1,D,0.2342372508629404
SI-DL,pi1,k_s,0.7657627491370596
SI-DL,pi1,mu,-1.0
SI-DL,pi2,u,0.6037203926408655
SI-DL,pi2,rho,0.6037203926408655
SI-DL,pi2,D,1.0
SI-DL,pi2,k_s,-0.3962796073591344
SI-DL,pi2,mu,-0.6037203926408655
"Known [Re, k_s/D]",pi1,u,1.0
"Known [Re, k_s/D]",pi1,rho,1.0
"Known [Re, k_s/D]",pi1,D,1.0
"Known [Re, k_s/D]",pi1,k_s,0.0
"Known [Re, k_s/D]",pi1,mu,-1.0
"Known [Re, k_s/D]",pi2,u,0.0
"Known [Re, k_s/D]",pi2,rho,0.0
"Known [Re, k_s/D]",pi2,D,-1.0
"Known [Re, k_s/D]",pi2,k_s,1.0
"Known [Re, k_s/D]",pi2,mu,0.0
Joint MI-DL,pi1,u,0.6076515562832125
Joint MI-DL,pi1,rho,0.6076515562832131
Joint MI-DL,pi1,D,1.0
Joint MI-DL,pi1,k_s,-0.3923484437167858
Joint MI-DL,pi1,mu,-0.6076515562832131
Joint MI-DL,pi2,u,0.999999999999999
Joint MI-DL,pi2,rho,1.0
Joint MI-DL,pi2,D,0.25041492823029116
Joint MI-DL,pi2,k_s,0.7495850717697106
Joint MI-DL,pi2,mu,-1.0
