method,num_input,seed,n_samples,bandwidth,bounds,maxiter,popsize,polish,S_cov,S_cov_raw,sidl_error,mse,rmse,nrmse_var,corr_Y_mhat,n_retained,objective_evaluations,elapsed_seconds,optimizer_success,optimizer_message,formula
SI-DL 1D DE seed4209,1,4209.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.7476738513702146,0.7476738513702146,0.2523261486297854,0.002728274552339132,0.052232887650781205,0.48769022059578016,0.8731809727444453,10000,1043,239.23152112960815,True,Optimization terminated successfully.,pi1: u^0.1432 * rho^0.1432 * D^1.0000 * k_s^-0.8568 * mu^-0.1432
SI-DL 1D DE best,1,4209.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.7476738513702146,0.7476738513702146,0.2523261486297854,0.002728274552339132,0.052232887650781205,0.48769022059578016,0.8731809727444453,10000,1043,239.23152112960815,True,Optimization terminated successfully.,pi1: u^0.1432 * rho^0.1432 * D^1.0000 * k_s^-0.8568 * mu^-0.1432
SI-DL 1D DE seed0,1,0.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.7476738513670353,0.7476738513670353,0.25232614863296465,0.00272827494954017,0.0522328914529932,0.4876902560964329,0.8731809521236484,10000,1003,231.55674409866333,True,Optimization terminated successfully.,pi1: u^0.1432 * rho^0.1432 * D^1.0000 * k_s^-0.8568 * mu^-0.1432
SI-DL 1D DE seed42,1,42.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.7476738513614637,0.7476738513614637,0.2523261486385363,0.0027282751007029326,0.0522328929000006,0.48769026960691236,0.8731809442760895,10000,1163,269.70686292648315,True,Optimization terminated successfully.,pi1: u^0.1432 * rho^0.1432 * D^1.0000 * k_s^-0.8568 * mu^-0.1432
Known k_s/D,1,,10000,0.06,"(-4.0, 4.0)",80,20,True,0.7446974351313744,0.7446974351313744,0.25530256486862557,0.002821611057933425,0.05311883901153549,0.4959622084945179,0.8684121780285945,10000,0,0.0,,,pi1: D^1.0000 * k_s^-1.0000
Known Re,1,,10000,0.06,"(-4.0, 4.0)",80,20,True,0.19272366742584945,0.19272366742584945,0.8072763325741505,0.009272153417521724,0.09629202156732261,0.8990633938094907,0.4378248298176463,10000,0,0.0,,,pi1: u^1.0000 * rho^1.0000 * D^1.0000 * mu^-1.0000
SI-DL 2D DE seed42,2,42.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.9876268654556928,0.9876268654556928,0.012373134544307218,2.2796317801446976e-05,0.004774548963142694,0.044579209417796535,0.999061131818399,10000,6445,1089.9808959960938,True,Optimization terminated successfully.,"pi1: u^0.8958 * rho^0.8958 * D^1.0000 * k_s^-0.1042 * mu^-0.8958
pi2: u^0.0033 * rho^0.0033 * D^1.0000 * k_s^-0.9967 * mu^-0.0033"
SI-DL 2D DE best,2,42.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.9876268654556928,0.9876268654556928,0.012373134544307218,2.2796317801446976e-05,0.004774548963142694,0.044579209417796535,0.999061131818399,10000,6445,1089.9808959960938,True,Optimization terminated successfully.,"pi1: u^0.8958 * rho^0.8958 * D^1.0000 * k_s^-0.1042 * mu^-0.8958
pi2: u^0.0033 * rho^0.0033 * D^1.0000 * k_s^-0.9967 * mu^-0.0033"
SI-DL 2D DE seed4209,2,4209.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.9876268651505185,0.9876268651505185,0.012373134849481549,2.279641967293853e-05,0.004774559631310361,0.044579309024792756,0.9990611273118525,10000,6225,1022.6607580184937,True,Optimization terminated successfully.,"pi1: u^0.8956 * rho^0.8956 * D^1.0000 * k_s^-0.1044 * mu^-0.8956
pi2: u^0.0033 * rho^0.0033 * D^1.0000 * k_s^-0.9967 * mu^-0.0033"
SI-DL 2D DE seed0,2,0.0,10000,0.06,"(-4.0, 4.0)",80,20,True,0.9876268634906896,0.9876268634906896,0.012373136509310378,2.2796204801388047e-05,0.00477453712954335,0.044579098929348845,0.999061136841014,10000,5640,953.4656789302826,True,Optimization terminated successfully.,"pi1: u^0.8960 * rho^0.8960 * D^1.0000 * k_s^-0.1040 * mu^-0.8960
pi2: u^0.0033 * rho^0.0033 * D^1.0000 * k_s^-0.9967 * mu^-0.0033"
"Known [Re, k_s/D]",2,,10000,0.06,"(-4.0, 4.0)",80,20,True,0.9875248777258236,0.9875248777258236,0.012475122274176353,2.2713068319855406e-05,0.0047658229425625335,0.0444977359421175,0.9990659167997232,10000,0,0.0,,,"pi1: u^1.0000 * rho^1.0000 * D^1.0000 * mu^-1.0000
pi2: D^1.0000 * k_s^-1.0000"
Previous SI-DL 2D,2,,10000,0.06,"(-4.0, 4.0)",80,20,True,0.9867279189979175,0.9867279189979175,0.013272081002082547,1.5286793168963064e-05,0.003909832882485268,0.03650549197471677,0.9994080448156378,10000,0,0.0,,,"pi1: u^1.0000 * rho^1.0000 * D^0.2342 * k_s^0.7658 * mu^-1.0000
pi2: u^0.6037 * rho^0.6037 * D^1.0000 * k_s^-0.3963 * mu^-0.6037"
