method,noise_percent,n_repeats,error_q25,error_median,error_q75,theta_median,objective_median
MI-DL,0,70,0.0006730621860638331,0.0014049468500568763,0.0029768919022002405,0.2500453930772695,0.004803221281028943
SI-DL,0,70,0.0004675198290077509,0.0008740627330178219,0.0015153017855848994,0.24995847388192008,0.005598516556321209
MI-DL,5,70,0.0024837575421063074,0.003993144224489709,0.007271309437010376,0.249753088957153,0.010590519399414512
SI-DL,5,70,0.0007403117208093779,0.001760003300240287,0.0029129210532921335,0.24996947350350335,0.008108458525515616
MI-DL,10,70,0.002789763890070379,0.005886205261887101,0.00912985872683686,0.2501223110254531,0.01941962153533855
SI-DL,10,70,0.001484096455478534,0.0031834112035536988,0.005553059685434625,0.249941005372456,0.01523756271402893
MI-DL,15,70,0.002175433927109144,0.00631607820695268,0.011387707932898727,0.24989080378474993,0.03219733170413755
SI-DL,15,70,0.002350521711707243,0.004721623965867061,0.008183731812998807,0.2499423833413278,0.027137619297976256
MI-DL,20,70,0.002985060501724035,0.0062067638647907986,0.01212037544176231,0.2500804896414448,0.04700212389260518
SI-DL,20,70,0.0030281679695839114,0.006194345411248581,0.010514705341156755,0.24999893691369118,0.0431663827990274
MI-DL,25,70,0.00692155231414171,0.009704781245820415,0.017010853632641876,0.25048926291137835,0.06574166101743396
SI-DL,25,70,0.0034479260291029046,0.008055203051857918,0.013105030166716769,0.2499653408104269,0.06322202420993117
MI-DL,30,70,0.007241136856415253,0.01449507909329667,0.021346899259397478,0.2505149006609998,0.0884427036931156
SI-DL,30,70,0.0039952397542673546,0.00962535410329185,0.015931774281026545,0.24988671467345075,0.08644378222516008
